Projeto,Ano,Tipo,Autor,Ementa,Situação,Cod_Tipo,Id_Projeto,Data_Projeto
5560.0,2013.0,Requerimento,Luiz Otávio Fernandes Coelho - Pardal,"Solicita poda de árvores na rua João Camilo Torres, no bairro Bandeirantes.",Arquivada,REQ,46137,09/07/2013
5559.0,2013.0,Requerimento,Luiz Otávio Fernandes Coelho - Pardal,"Solicita capina e limpeza da rua Waldir Abdo Farah, no bairro alto Grajaú.",Arquivada,REQ,46136,09/07/2013
5558.0,2013.0,Requerimento,Luiz Otávio Fernandes Coelho - Pardal,"Solicita limpeza de todas bocas de lobo na rua Josué de Queiroz, no bairro Santa Terezinha.",Arquivada,REQ,46135,09/07/2013
5557.0,2013.0,Requerimento,Dr. Fiorilo,Solicita determinar a SETTRA que estude a possibilidade de retornar com o ponto de ônibus da linha 123,Arquivada,REQ,46420,09/07/2013
5556.0,2013.0,Requerimento,Dr. Fiorilo,Solicita campanha pública concitando a população a zelar pela preservação do Parque Halfeld,Arquivada,REQ,46418,09/07/2013
5555.0,2013.0,Requerimento,Dr. Fiorilo,Solicita a ampliação do número de Guardas Municipais no Parque Halfeld,Arquivada,REQ,46416,09/07/2013
5554.0,2013.0,Requerimento,Dr. Fiorilo,"Solicita restauração de um bueiro quebrado na rua Pedro Botti, bairro Santa Cecília",Arquivada,REQ,46414,09/07/2013
5553.0,2013.0,Requerimento,Dr. Fiorilo,"Solicita colocar placa de sinalização de transito com advertência de entrada e saída de veículos na esquina da rua Joaquim Vicente Guedes com a rua Manoel Ribeiro, bairro Graminha",Arquivada,REQ,46413,09/07/2013
5552.0,2013.0,Requerimento,Dr. Fiorilo,"Solicita asfaltamento da rua Joaquim José da Silva, bairro Ipiranga",Arquivada,REQ,46411,09/07/2013
5551.0,2013.0,Requerimento,Dr. Fiorilo,"Solicita limpeza e revitalização e iluminação do referido espaço entre as ruas Maria Amélia, José Narciso Neto e Mário P Lima, bairro Santa Cecília",Arquivada,REQ,46410,09/07/2013
5550.0,2013.0,Representação,Dr. Fiorilo,"Solicita estudo no sentido de fazer a ligação das ruas Geraldo Ferreira Gomes e Brás Antonio Falco, nos bairros Ipiranga e Santa Luzia",Arquivada,PLEI,46409,09/07/2013
5549.0,2013.0,Requerimento,Dr. Fiorilo,Solicita revitalização da sinalização vertical das ruas Ibitiguaia com Porto das Flores,Arquivada,REQ,46408,09/07/2013
5548.0,2013.0,Requerimento,Dr. Fiorilo,Solicita pode de árvores nas margens e dentro do Córrego que passa na av Santa Luzia,Arquivada,REQ,46404,09/07/2013
5547.0,2013.0,Requerimento,Dr. Fiorilo,"Solicita colocação de placa de proibição de jogar lixo e entulho na rua Pedro Celeste, bairro Cruzeiro do Sul",Arquivada,REQ,46402,09/07/2013
5546.0,2013.0,Requerimento,Dr. Fiorilo,"Solicita colocação de placa de proibido jogar lixo e entulho na rua Pe. Geraldo Pelzers, bairro Santa Luzia",Arquivada,REQ,46401,09/07/2013
5545.0,2013.0,Requerimento,Dr. Fiorilo,Solicita a ligação da rua Luiz Steling ( bairro Santa Luzia ) com a rua Maria da Conceição Atalaia ( bairro Graminha ),Arquivada,REQ,46400,09/07/2013
