Projeto,Ano,Tipo,Ementa,Situação,Codigo_Tipo,Id_Projeto,Data_Projeto,Tramitacao_Encerrada,Aprovado
5245,2017,Requerimento,Capina - Rua João de Oliveira; Bairro São Francisco de Paula.,Aprovado,REQ,64601,,,
5244,2017,Requerimento,Capina - Rua Jair de Oliveira Pires; Bairro São Judas Tadeu.,Aprovado,REQ,64600,,,
5243,2017,Requerimento,Capina - Rua Henrique Meurer; Bairro São Judas Tadeu.,Aprovado,REQ,64599,,,
5242,2017,Requerimento,Capina - Rua Ernesto Pancini; Bairro São Judas Tadeu.,Aprovado,REQ,64596,,,
5241,2017,Requerimento,Capina - Rua E; Bairro Santana,Aprovado,REQ,64595,,,
5240,2017,Requerimento,Capina - Rua Dr. Jair Fortes; Bairro Recanto dos Lagos.,Aprovado,REQ,64593,,,
5239,2017,Requerimento,Capina - Rua Detetive Afonso Celso; Bairro Recanto dos Lagos.,Aprovado,REQ,64590,,,
5238,2017,Requerimento,Capina - Rua Detetive Agapito Marques; Bairro Recanto dos Lagos.,Aprovado,REQ,64589,,,
5237,2017,Requerimento,Capina - Rua Dario José de Carvalho; Bairro São Judas Tadeu.,Aprovado,REQ,64588,,,
5236,2017,Requerimento,Capina - Rua Daniel Antonio Pinto; Bairro Recanto dos Lagos,Aprovado,REQ,64587,,,
5235,2017,Requerimento,Capina - Rua Capitão Wanderley do Nascimento; Bairro Recanto dos Lagos.,Aprovado,REQ,64586,,,
5234,2017,Requerimento,Capina - Av. Garcia Rodrigues Paes; Bairro Jóquei Clube.,Aprovado,REQ,64585,,,
5233,2017,Requerimento,Capina - Rua Atílio Pastorini; Bairro Santana.,Aprovado,REQ,64584,,,
5232,2017,Requerimento,Capina - Rua Antonio Morais Cosso; Bairro São Judas Tadeu,Aprovado,REQ,64583,,,
5231,2017,Requerimento,Capina - Rua Antonio José Cosso; bairro São Judas Tadeu.,Aprovado,REQ,64582,,,
5230,2017,Requerimento,Capina - Rua Amarilis; Bairro Recanto dos Lagos.,Aprovado,REQ,64581,,,
5229,2017,Requerimento,"Boca de lobo - Rua Halfeld, próximo nº 1031; Centro.",Aprovado,REQ,64580,,,
5228,2017,Requerimento,Boca de lobo - Rua Sebastião Ferreira; Bairro São Pedro.,Aprovado,REQ,64579,,,
5227,2017,Requerimento,Boca de lobo - Rua Dr.Eduardo de Menezes; Bairro São Mateus.,Aprovado,REQ,64578,,,
5226,2017,Requerimento,Boca de lobo - Rua Henrique de Novaes; Bairro de Lourdes,Aprovado,REQ,64577,,,
5225,2017,Requerimento,Boca de lobo - Av. dos Andradas próximo nº 1121,Aprovado,REQ,64576,,,
5224,2017,Requerimento,"Solicita capina e limpeza em toda extensão da Rua Goiás, no bairro São Bernardo",Aprovado,REQ,64670,,,
5223,2017,Requerimento,"Solicita recapeamento asfáltico na Rua Princesa Isabela, no bairro Granbery",Aprovado,REQ,64657,,,
5222,2017,Requerimento,"Solicita recapeamento asfáltico na Rua Santos Dumont, no bairro Granbery",Aprovado,REQ,64655,,,
