Projeto,Ano,Tipo,Ementa,Situacao,Autor,Codigo_Tipo,Id_Projeto_Camara,Data_Projeto,Tramitacao_Encerrada,Aprovado
3987,2012,Mensagem do Executivo,"Dispõe sobre desafetação de área de terreno de sua característica institucional, transferindo-a para o patrimônio do Município e, autoriza a doação ao Estado de Minas Gerais para construção da sede do Ministério Público do Estado de Minas Gerais e dá outras providências.",Transformado em Norma Jurídica,Executivo,MSGEX,35216,,,
3986,2012,Mensagem do Executivo,Autoriza a incorporação das áreas que menciona ao patrimônio da Empresa Regional de Habitação de Juiz de Fora S.A. - EMCASA.,Transformado em Norma Jurídica,Executivo,MSGEX,30545,,,
3985,2012,Mensagem do Executivo,Dispõe sobre a desafetação e a investidura da área pública que menciona.,Transformado em Norma Jurídica,Executivo,MSGEX,36215,,,
3984,2012,Mensagem do Executivo,Autoriza a incorporação da área que menciona ao patrimônio da Empresa Regional de Habitação de Juiz de Fora S.A. - EMCASA.,Transformado em Norma Jurídica,Executivo,MSGEX,30537,,,
3983,2012,Mensagem do Executivo,Autoriza a doação do imóvel que menciona.,Transformado em Norma Jurídica,Executivo,MSGEX,1977,,,
3982,2012,Mensagem do Executivo,"Dispõe sobre a renovação do prazo para cumprimento do encargo referido no art. 1º, da Lei nº 11.325, de 28 de fevereiro de 2007.",Transformado em Norma Jurídica,Executivo,MSGEX,1823,,,
3981,2012,Mensagem do Executivo,"Autoriza a abertura de Crédito Especial no valor de R$ 1.745.000,00 e dá outras providências.",Transformado em Norma Jurídica,Executivo,MSGEX,38624,,,
3980,2012,Mensagem do Executivo,"Autoriza a incorporação da área que menciona ao patrimônio da ""Empresa Regional de Habitação de Juiz de Fora S.A."" - EMCASA.",Transformado em Norma Jurídica,Executivo,MSGEX,31562,,,
3979,2012,Mensagem do Executivo,"Dispõe sobre a criação da gratificação de incentivo ao combate à dengue, no Município de Juiz de Fora, aos servidores municipais convocados para atuarem nas Batalhas Regionais (Ação 2012).",Transformado em Norma Jurídica,Executivo,MSGEX,25592,,,
3978,2012,Mensagem do Executivo,"Dispõe sobre a alteração da Lei nº 12.321, de 14 de julho de 2011.",Transformado em Norma Jurídica,Executivo,MSGEX,25588,,,
3977,2012,Mensagem do Executivo,Dispõe sobre a instituição do pagamento de abono fardamento em favor dos servidores integrantes da Guarda Municipal de Juiz de Fora.,Transformado em Norma Jurídica,Executivo,MSGEX,546,,,
3976,2012,Mensagem do Executivo,"Altera a redação da Lei nº 8.948, de 31 de outubro de 1996, que ""Indica casos de interesse social e autoriza o Executivo a doar área Municipal e dá outras providências"".",Transformado em Norma Jurídica,Executivo,MSGEX,3014,,,
3975,2012,Mensagem do Executivo,"Altera o art. 195, da Lei nº 8.710, de 31 de julho de 1995.",Transformado em Norma Jurídica,Executivo,MSGEX,2817,,,
3974,2012,Mensagem do Executivo,Dispõe sobre a alienação através de investidura da área pública que menciona.,Transformado em Norma Jurídica,Executivo,MSGEX,39069,,,
3973,2012,Mensagem do Executivo,Autoriza a incorporação da área que menciona.,Transformado em Norma Jurídica,Executivo,MSGEX,30544,,,
3972,2012,Mensagem do Executivo,"Altera a Lei nº 11.427, de 14 de setembro de 2007, que ""Autoriza o Município a patrocinar equipes de futebol de campo e dá outras providências"".",Transformado em Norma Jurídica,Executivo,MSGEX,3274,,,
3971,2012,Mensagem do Executivo,Dispõe sobre a doação e autorização de recebimento de imóveis que menciona e dá outras providências.,Transformado em Norma Jurídica,Executivo,MSGEX,35215,,,
3970,2012,Mensagem do Executivo,"Prorroga prazo de vigência da Lei n° 12.111, de 03 de setembro de 2010, alterada pela Lei n° 12.186, de 21 de dezembro de 2010 e pela Lei n"" 12.357, de 16 de setembro de 2011 e dá outras providências.",Transformado em Norma Jurídica,Executivo,MSGEX,25584,,,
3969,2012,Mensagem do Executivo,Dispõe sobre denominação de Próprio Municipal.,Transformado em Norma Jurídica,Executivo,MSGEX,39040,,,
3968,2012,Mensagem do Executivo,"Altera a Lei nº 11.509, de 24 de janeiro de 2008, que dispõe sobre a alienação de bens imóveis que relaciona.",Transformado em Norma Jurídica,Executivo,MSGEX,35887,,,
3967,2012,Mensagem do Executivo,"Dispõe sobre o recebimento, em doação, da área que menciona.",Transformado em Norma Jurídica,Executivo.,MSGEX,39041,,,
3966,2012,Mensagem do Executivo,Dispõe sobre a desafetação e a investidura da área pública que menciona.,Transformado em Norma Jurídica,Executivo,MSGEX,39022,,,
3965,2012,Mensagem do Executivo,"Altera a redação do parágrafo único do art. 8º, da Lei nº 11.728, de 26 de dezembro de 2008.",Transformado em Norma Jurídica,Executivo,MSGEX,18130,,,
3258,2012,Requerimento,Solicita uma audiencia publica com o tema Reprovação em exame para obtenção de carteira de motorista em Juiz de Fora.,Arquivada,Fiorilo,REQ,166,,,
3256,2012,Requerimento,"Solicita poda de uma árvore na rua Serra Verde, no bairro Santa Paula.",Arquivada,Ana Rossignoli,REQ,43385,,,
2511,2012,Requerimento,"Solicita a a viabilização legal. de um projeto que possa inserir alguns idosos para que estes ajudem na fiscalização das diversas vagas de estacionamento rotativo no centro da cidade e nos bairros, destinadas apenas para idosos.",Em Tramitação,Flávio Cheker,REQ,1556,,,
2158,2012,Requerimento,"Solicita o setor competente faça a extensão da rede elétrica na Rua Ipanema, do número 365 ao 134, no Milho Branco.",Em Tramitação,Isauro Calais,REQ,23036,,,
2157,2012,Requerimento,"Solicita a dragagem do córrego que corta a Avenida Darci Vargas, No bairro Ipiranga.",Em Tramitação,Isauro Calais,REQ,13753,,,
2156,2012,Requerimento,"Solicita a instalação de traffic calming, na Avenida Darci vargas, bairro Ipiranga.",Em Tramitação,Isauro Calais,REQ,13752,,,
2155,2012,Requerimento,Solicita audiencia públçica para debater a ausência de um equipamento público de saúde no bairro Encosta do Sol.,Em Tramitação,Wanderson Castelar,REQ,38701,,,
2154,2012,Requerimento,Solicita uma audiencia pública para debatermos o aumento dos casos de pichação em imóveis do patrimônio público e imóveis particulares do município de Juiz de Fora.,Em Tramitação,Rodrigo Mattos,REQ,38700,,,
2153,2012,Requerimento,"Solicita capina e limpeza em toda extensão da rua São Cristovão, bairro Granjas Bethania.",Em Tramitação,Julio Gasparette,REQ,19722,,,
2152,2012,Requerimento,"Solicita a capina e limpeza em toda extensão da Rua José Irineu dos Reis, bairro Granjas Bethania.",Em Tramitação,Julio Gasparette,REQ,19721,,,
2151,2012,Requerimento,"Solicita operação tapa buraco em toda extensão da rua José Irineu dos Reis, bairro Granjas Bethania.",Em Tramitação,Julio Gasparette,REQ,19720,,,
2150,2012,Requerimento,Solicita a colocação de uma placa de carga e descarga na rua Bernardo Mascarenhas.,Em Tramitação,Chico Evangelista,REQ,15140,,,
2149,2012,Requerimento,Solicita audiencia pública para tratarmos sobre segurança no municipio com foco na formação e combate das gangues da cidade.,Em Tramitação,Noraldino Junior,REQ,38699,,,
2148,2012,Requerimento,"Solicita a revitalização dos brinquedos da praça na rua Aníbal Alves, bairro Nossa Senhora das Graças",Em Tramitação,Júlio Gasparette,REQ,31787,,,
2147,2012,Requerimento,"Solicita a troca de areia do Parque da praça na rua Aníbal Alves, bairro Nossa Senhora das Graças.",Em Tramitação,Julio Gasparette,REQ,31786,,,
2146,2012,Requerimento,"Solicita a capina e limpeza em toda extensão da rua Aníbal Alves, Bairro Nossa Senhora da Graças",Em Tramitação,Júlio Gasparette,REQ,31785,,,
2145,2012,Requerimento,Solicita a capina e limpeza em toda extensão das margens do córrego da Tapera.,Em Tramitação,Julio Gasparette,REQ,9417,,,
2144,2012,Requerimento,"Solicita a limpeza e capina de uma Rua Ladeira Alexandre Leonel, no bairro Cascatinha, pois a rua esta com o mato muito alto, atrapalhando a passagem dos moradores da região",Em Tramitação,João do Joaninho,REQ,34478,,,
