Projeto,Ano,Tipo,Autor,Ementa,Situação
3984.0,2012.0,Mensagem do Executivo,Executivo,Autoriza a incorporação da área que menciona ao patrimônio da Empresa Regional de Habitação de Juiz de Fora S.A. - EMCASA.,Transformado em Norma Jurídica
3983.0,2012.0,Mensagem do Executivo,Executivo,Autoriza a doação do imóvel que menciona.,Transformado em Norma Jurídica
3982.0,2012.0,Mensagem do Executivo,Executivo,"Dispõe sobre a renovação do prazo para cumprimento do encargo referido no art. 1º, da Lei nº 11.325, de 28 de fevereiro de 2007.",Transformado em Norma Jurídica
3981.0,2012.0,Mensagem do Executivo,Executivo,"Autoriza a abertura de Crédito Especial no valor de R$ 1.745.000,00 e dá outras providências.",Transformado em Norma Jurídica
3980.0,2012.0,Mensagem do Executivo,Executivo,"Autoriza a incorporação da área que menciona ao patrimônio da ""Empresa Regional de Habitação de Juiz de Fora S.A."" - EMCASA.",Transformado em Norma Jurídica
3979.0,2012.0,Mensagem do Executivo,Executivo,"Dispõe sobre a criação da gratificação de incentivo ao combate à dengue, no Município de Juiz de Fora, aos servidores municipais convocados para atuarem nas Batalhas Regionais (Ação 2012).",Transformado em Norma Jurídica
3978.0,2012.0,Mensagem do Executivo,Executivo,"Dispõe sobre a alteração da Lei nº 12.321, de 14 de julho de 2011.",Transformado em Norma Jurídica
3977.0,2012.0,Mensagem do Executivo,Executivo,Dispõe sobre a instituição do pagamento de abono fardamento em favor dos servidores integrantes da Guarda Municipal de Juiz de Fora.,Transformado em Norma Jurídica
3976.0,2012.0,Mensagem do Executivo,Executivo,"Altera a redação da Lei nº 8.948, de 31 de outubro de 1996, que ""Indica casos de interesse social e autoriza o Executivo a doar área Municipal e dá outras providências"".",Transformado em Norma Jurídica
3975.0,2012.0,Mensagem do Executivo,Executivo,"Altera o art. 195, da Lei nº 8.710, de 31 de julho de 1995.",Transformado em Norma Jurídica
3974.0,2012.0,Mensagem do Executivo,Executivo,Dispõe sobre a alienação através de investidura da área pública que menciona.,Transformado em Norma Jurídica
3973.0,2012.0,Mensagem do Executivo,Executivo,Autoriza a incorporação da área que menciona.,Transformado em Norma Jurídica
3972.0,2012.0,Mensagem do Executivo,Executivo,"Altera a Lei nº 11.427, de 14 de setembro de 2007, que ""Autoriza o Município a patrocinar equipes de futebol de campo e dá outras providências"".",Transformado em Norma Jurídica
3971.0,2012.0,Mensagem do Executivo,Executivo,Dispõe sobre a doação e autorização de recebimento de imóveis que menciona e dá outras providências.,Transformado em Norma Jurídica
3970.0,2012.0,Mensagem do Executivo,Executivo,"Prorroga prazo de vigência da Lei n° 12.111, de 03 de setembro de 2010, alterada pela Lei n° 12.186, de 21 de dezembro de 2010 e pela Lei n"" 12.357, de 16 de setembro de 2011 e dá outras providências.",Transformado em Norma Jurídica
3969.0,2012.0,Mensagem do Executivo,Executivo,Dispõe sobre denominação de Próprio Municipal.,Transformado em Norma Jurídica
3968.0,2012.0,Mensagem do Executivo,Executivo,"Altera a Lei nº 11.509, de 24 de janeiro de 2008, que dispõe sobre a alienação de bens imóveis que relaciona.",Transformado em Norma Jurídica
3967.0,2012.0,Mensagem do Executivo,Executivo.,"Dispõe sobre o recebimento, em doação, da área que menciona.",Transformado em Norma Jurídica
3966.0,2012.0,Mensagem do Executivo,Executivo,Dispõe sobre a desafetação e a investidura da área pública que menciona.,Transformado em Norma Jurídica
3965.0,2012.0,Mensagem do Executivo,Executivo,"Altera a redação do parágrafo único do art. 8º, da Lei nº 11.728, de 26 de dezembro de 2008.",Transformado em Norma Jurídica
3258.0,2012.0,Requerimento,Fiorilo,Solicita uma audiencia publica com o tema Reprovação em exame para obtenção de carteira de motorista em Juiz de Fora.,Arquivada
3256.0,2012.0,Requerimento,Ana Rossignoli,"Solicita poda de uma árvore na rua Serra Verde, no bairro Santa Paula.",Arquivada
2511.0,2012.0,Requerimento,Flávio Cheker,"Solicita a a viabilização legal. de um projeto que possa inserir alguns idosos para que estes ajudem na fiscalização das diversas vagas de estacionamento rotativo no centro da cidade e nos bairros, destinadas apenas para idosos.",Em Tramitação
2158.0,2012.0,Requerimento,Isauro Calais,"Solicita o setor competente faça a extensão da rede elétrica na Rua Ipanema, do número 365 ao 134, no Milho Branco.",Em Tramitação
2157.0,2012.0,Requerimento,Isauro Calais,"Solicita a dragagem do córrego que corta a Avenida Darci Vargas, No bairro Ipiranga.",Em Tramitação
2156.0,2012.0,Requerimento,Isauro Calais,"Solicita a instalação de traffic calming, na Avenida Darci vargas, bairro Ipiranga.",Em Tramitação
2155.0,2012.0,Requerimento,Wanderson Castelar,Solicita audiencia públçica para debater a ausência de um equipamento público de saúde no bairro Encosta do Sol.,Em Tramitação
2154.0,2012.0,Requerimento,Rodrigo Mattos,Solicita uma audiencia pública para debatermos o aumento dos casos de pichação em imóveis do patrimônio público e imóveis particulares do município de Juiz de Fora.,Em Tramitação
2153.0,2012.0,Requerimento,Julio Gasparette,"Solicita capina e limpeza em toda extensão da rua São Cristovão, bairro Granjas Bethania.",Em Tramitação
