Projeto,Ano,Tipo,Ementa,Situacao,Autor,Codigo_Tipo,Id_Projeto_Camara,Data_Projeto,Tramitacao_Encerrada,Aprovado
2362,2015,Requerimento,Solicita a construção de um muro de contenção na Rua São Pancrácio no Bairro Nossa Senhora Aparecida.,Arquivada,Luiz Otávio Fernandes Coelho - Pardal,REQ,53901,25/08/2015,SIM,SIM
2361,2015,Requerimento,Solicita manutenção no sistema de iluminação externa da UAPS no Bairro Granjas Bethania.,Arquivada,Júlio Gasparette,REQ,53897,25/08/2015,SIM,SIM
2360,2015,Requerimento,Solicita implantação de iluminação no poste na Rua Lima Duarte em frente ao número 66 no Bairro Vila Esperança.,Arquivada,Júlio Gasparette,REQ,53896,25/08/2015,SIM,SIM
2359,2015,Requerimento,Solicita limpeza e capina da Rua Coronel Quintão no Bairro Monte Castelo.,Arquivada,Júlio Gasparette,REQ,53895,25/08/2015,SIM,SIM
2358,2015,Requerimento,Solicita limpeza e capina da Rua Itacolomi no Bairro Monte Castelo.,Arquivada,Júlio Gasparette,REQ,53894,25/08/2015,SIM,SIM
2357,2015,Requerimento,Solicita capina e limpeza da Rua B no Bairro Realeza,Arquivada,Júlio Gasparette,REQ,53893,25/08/2015,SIM,SIM
2356,2015,Requerimento,Solicita limpeza e capina do córrego Três Pontes na Rua Lima Duarte no Bairro Vila Esperança.,Arquivada,Júlio Gasparette,REQ,53892,25/08/2015,SIM,SIM
2355,2015,Requerimento,Solicita implantação de lâmpadas nos postes na Rua Verde Vale divisa com os Bairros Recanto dos Lagos e Vale do Amanhecer.,Arquivada,Júlio Gasparette,REQ,53891,25/08/2015,SIM,SIM
2354,2015,Requerimento,Solicita retirada de veículo abandonado na Rua Itacolomi próximo ao número 25 no Bairro Monte Castelo,Arquivada,Júlio Gasparette,REQ,53890,25/08/2015,SIM,SIM
2353,2015,Requerimento,Solicita limpeza de bocas de lobo na Rua Alan Kardec próximo ao número 326 no Bairro JK.,Arquivada,Júlio Gasparette,REQ,53889,25/08/2015,SIM,SIM
