Projeto,,Ano,,Tipo,,Autor,,Ementa,,Situação
,,,,,,,,,,
5839,   ,2013,,Requerimento,,Wanderson Castelar,,"Solicita limpeza da rua das Agulhas, no bairro Monte Castelo.",,Arquivada
,,,,,,,,,,
5838,   ,2013,,Requerimento,,Wanderson Castelar,,"Solicita junto a Empav, recapeamento na rua das Agulhas Negras.",,Arquivada
,,,,,,,,,,
5837,   ,2013,,Requerimento,,Wanderson Castelar,,"Solicita junto a Empav, recapeamento asfáltico na rua Doutor Oswaldo Mascarenhas, no bairro Monte Castelo.",,Arquivada
,,,,,,,,,,
5836,   ,2013,,Requerimento,,Oliveira Tresse,,"Solicita limpeza da boca de lobo da rua Primavera, no bairro Novo Horizonte.",,Arquivada
,,,,,,,,,,
5835,   ,2013,,Requerimento,,Oliveira Tresse,,"Solicita limpeza e capina de um lote situado na ruaTerezinha Lourdes, no bairro Linhares.",,Arquivada
,,,,,,,,,,
5834,   ,2013,,Requerimento,,Oliveira Tresse,,"Solicita avaliação de coleta de lixo para atender a rua Professor Raimundo Tavares, no bairro Linhares.",,Arquivada
,,,,,,,,,,
5833,   ,2013,,Requerimento,,Oliveira Tresse,,"Solicita capina e limpeza da rua Doutor Raimundo Tavares, no bairro Linhares.",,Arquivada
,,,,,,,,,,
5832,   ,2013,,Requerimento,,Oliveira Tresse,,"Solicita reparo de um bueiro entupido na rua Ângelo Biggi, no bairro Linhares.",,Arquivada
,,,,,,,,,,
5831,   ,2013,,Requerimento,,Oliveira Tresse,,"Solicita implantação de academia ao ar livre na rua Diva Garcia, no bairro Bom Jardim.",,Arquivada
,,,,,,,,,,
5830,   ,2013,,Requerimento,,Oliveira Tresse,,"Solicita recapeamento asfáltico, na rua Professor Raimundo Tavares, no bairro Linhares.",,Arquivada
,,,,,,,,,,
5829,   ,2013,,Requerimento,,Oliveira Tresse,,"Solicita sinalização de placa de ônibus na rua Bahia, no bairro Poço Rico.",,Arquivada
,,,,,,,,,,
5828,   ,2013,,Requerimento,,Oliveira Tresse,,"Solicita reparo na iluminação na Diva Garcia, no bairro Linhares.",,Arquivada
,,,,,,,,,,
5827,   ,2013,,Requerimento,,Oliveira Tresse,,"Solicita implantação de academia ao ar livre na rua Dr. Moacir de Castro Xavier, no bairro Linhares",,Arquivada
,,,,,,,,,,
5826,   ,2013,,Requerimento,,Oliveira Tresse,,"Solicita retirada de entulho na rua Altivo Cintra, no bairro Santa Cândida.",,Arquivada
,,,,,,,,,,
5825,   ,2013,,Requerimento,,Oliveira Tresse,,"Solicita implantação de academia ao ar livre, na rua Diva Garcia, no bairro Linhares.",,Arquivada
,,,,,,,,,,
5824,   ,2013,,Requerimento,,Oliveira Tresse,,"Solicita possibilidade de alteração da temporização no semáforo do cruzamento das ruas Antônio Dias com Osório de Almeida, no bairro Poço Rico.",,Arquivada
,,,,,,,,,,
5823,   ,2013,,Requerimento,,Dr. Fiorilo,,"Solicita a restauração de um buraco no asfalto ao lado do nº 600 da av Santa Luzia, bairro Santa Luzia",,Arquivada
,,,,,,,,,,
5822,   ,2013,,Requerimento,,Cido Reis,,"Solicita iluminação pública no granjeamento Humaitá, localizado no bairro Humaitá.",,Arquivada
,,,,,,,,,,
